id,name,time,utc_offset,group_id,venue_id,status,description
"48513792","Reunión 5 de MadridJS: CartoDB",1329330600000,3600000,2301351,3360802,"past","<p><b>Descripción de la charla</b> <b><br/></b> CartoDB es una base de datos Open Source en la nube (utilizada, entre otros, por la NASA), que permite crear aplicaciones geoespaciales de manera fácil y rápida.  En esta presentación mostraremos cómo podemos desarrollar aplicaciones utilizando CartoDB como back-end. <b> </b></p> <p> </p> <p><b>Ponentes</b></p> <p> </p> <p>Javier Álvarez (<a href=""http://twitter.com/xavijam"">@xavijam</a>) Es programador en Vizzuality y ""lead developer"" del front-end de CartoDB. Su animadversión a flash sólo es igualada por su amor a los estándares web y las nuevas tecnologías de desarrollo.   </p> <p> </p> <p>Javier Arce (<a href=""http://www.twitter.com/javier"">@javier</a>) Es un programador versado en varios lenguajes de programación (Ruby, JavaScript, Objective-C). Actualmente trabaja como desarrollador front-end en Vizzuality. Compagina su activiad profesional escribiendo código con su pasión por la ilustración.</p>"
"54228652","Desarrollo de videojuegos en JavaScript",1332441000000,3600000,2301351,3360802,"past","<p><b>Descripción de la charla</b></p> <p><b><br/></b></p> <p>JavaScript es un lenguaje principalmente utilizado en aplicaciones web. Quizás son menos conocidas todas las posibilidades gráﬁcas y de interacción que ofrece para creación de juegos. En la charla veremos las características más importantes como el gameloop, captura de teclado, colisiones, etc.</p> <p>Será lo mas práctico posible donde se verán trozos de código donde se pueda mostrar distintas funcionalidades</p> <p> </p> <p><b>Sobre los ponentes</b></p> <p><b><br/></b></p> <p>Sergio Ruiz (@serginator)</p> <p>Es programador en Ciber desde hace 7 meses, actualmente desarrollando una red social en PHP, TUYYOU. Se metió en esto de JavaScript por una oferta de trabajo en Japón (la cual no pudo ser por los terremotos) para la que tuvo que realizar un videojuego en una semana desde cero en JavaScript y así demostrar los conocimientos que no tenía. Al final, en esa semana, entregó dos en un portfolio que creó para los japoneses,<a href=""http://www.serginator.com/""><a href=""http://www.serginator.com"" class=""linkified"">http://www.serginator.com</a></a>. Desde entonces se ha interesado mucho por el desarrollo web, móvil y videojueguil, su desarrollo y optimización.</p> <p> </p> <p>Carlos Benitez (@etnassoft)</p> <p>Programador Web y arquitecto Javascript. Experto jQuery. Fundador de www.etnassoft.com y www.openlibra.com</p>"
"57778732","Javascript, I've got the power",1334165400000,7200000,2301351,3360802,"past","<p><b>Descripción de la charla</b></p> <p> </p> <p>Cada día aparecen librerías nuevas para ayudarnos con diferentes aspectos de nuestros proyectos. Elegir entre todas ellas resulta muchas veces muy complicado.</p> <p>En esta charla daremos repaso por las librerías más interesantes que podemos emplear para nuestros proyectos. Para animar, manejar datos, rutas, gestionar vistas, validar formularios, mejorar el rendimiento de una web, testing.</p> <p> </p> <p><b>Bio del ponente</b></p> <p> </p> <p>Enrique Quintano Fernández (a.k.a @tessekkur) es Director Técnico en Lata Latina. Comenzó su actividad profesional a finales de los 90 como programador web. A lo largo de su trayectoria ha participado en multitud de proyectos de diferente envergadura para clientes como: Antena3, Cruz Roja, Barclays Bank, BBVA, Agencia Tributaria, Leroy Merlín, La Razón, Comunidad de Madrid... Sus profundos conocimientos sobre el funcionamiento del ecosistema web le permite colaborar como Consultor Tecnológico con diferentes Start-Up. También colabora en varios centros educativos desarrollando temarios e impartiendo formación en tecnologías web. Realidad Aumentada, QR Codes, Redes Sociales, ... </p>"
"59526132","Ineffective JavaScript",1337704200000,7200000,2301351,3360802,"past","<p><b>Descripción de la charla</b></p> <p> </p> <p>En esta charla viajaremos por el mundo de las malas prácticas de JavaScript y concepciones erróneas sobre el lenguaje.</p> <p>Tampoco faltarán las inevitables pífias del lenguaje. Daré un repaso a las malas prácticas que me encuentro normalmente en mi día a día, y propondré posibles alternativas.</p> <p>Está orientada a todos los niveles, ya que veremos malas prácticas propias tanto de programadores novatos como las de programadores más avanzados.</p> <p><b>Bio del ponente</b></p> <p>Enrique Amodeo Rubio (email: [masked], twitter: @eamodeorubio)</p> <p>Ingeniero en Informática desde 1999, primero de su promoción, llevomás de diez año trabajando como profesional en el mundo de lainformática empresarial. Me intereso en cómo hay que organizar ygestionar un proyecto software, y todas aquellas prácticas deingeniería y programación necesarias para desarrollar software conéxito. Actualmente trabajo sobre todo en el área de aplicaciones ricasde internet, usando AJAX, OO y TDD/BDD. Un enamorado de JavaScript, no sólo para programar en cliente, sino también en servidor usando node.js.</p> <p> </p>"
"66286782","Madrid GUG Mayo: GPars",1338312600000,7200000,3936622,1557758,"past","<p>GPars ofrece nuevas maneras de desarrollar aplicaciones que permitan sacar partido de su ejecución en hardware de múltiples núcleos.</p> <p>Mario García nos dará a conocer todos los detalles sobre GPars</p>"
"61842992","Patrones de Diseño con JavaScript",1339088400000,7200000,2301351,3360802,"past","<p><b>Descripción de la charla</b></p> <p> </p> <p>Todo desarrollo que pretenda ser mantenible antes ha tenido que ser pensado y estructurado de la forma más eficiente posible. En esta charla explicaremos algunos de los patrones más potentes aplicados a Javascript y aquellos que son exclusivos del lenguaje. Las personas que asistan serán capaces de reconocer en el código los patrones utilizados (aumentará su poder de comunicación con el resto de desarrolladores) y poder estructurar su código utilizándolos de la forma más eficiente.</p> <p> </p> <p><b>Bio de Tomás Corral</b></p> <p> </p> <p>Actualmente desarrollo mi trabajo como Javascript Expert en Softonic.com, donde me encargo del departamento y de la infraestructura interna del código Javascript. Fundador y coordinador del evento 'We Love JS' que se realiza en Barcelona trimestralmente. <a href=""http://welovejs.es/""><a href=""http://welovejs.es"" class=""linkified"">http://welovejs.es</a></a> Comencé mi andadura en el mundo de la informática durante los últimos años de los 90 y principios de los 2000 donde trabajé de freelance haciendo páginas web para importantes clientes como:</p> <p>Pepa Karnero A.C.U.P - Associació Catalana d'Universitats Públiques U.A.B. - Universitat Autónoma de Barcelona Tras este tiempo me dediqué de formarme, Java, PHP y Javascript,  lo dejé para entrar en IT Deusto (ahora Oesia) en esta empresa tuve la posibilidad de trabajar con varios clientes importantes:</p> <p>CBRE - CB Richard Ellis ONO Generalitat de Catalunya Para la Generalitat de Catalunya estuve trabajando como consultor de Usabilidad y Accesibilidad durante un par de años. Posteriormente tuve la posibilidad de empezar a trabajar en NTR Global donde realmente me llené de barro hasta las rodillas para optimizar y obtener el código Javascript más eficiente, ya que el producto era una R.I.A.</p>"
"70606272","Plugins de grails que nos han salvado la vida",1340730900000,7200000,3936622,1557758,"past","<p>Discutiremos sobre los plugins que consideramos mas importantes en el día a día de nuestro desarrollo con Grails y aquellos que nunca usamos y que nos pueden salvar la vida en un momento determinado.</p> <p>También habrá una retrospectiva de lo que ha sido la conferencia Gr8conf.</p>"
"76358472","Terraceo.js",1344531600000,7200000,2301351,8604912,"past","<p>El verano nos acecha y no podemos darle esquinazo. Intentaremos soportar los rigores del clima de la capital en una terraza, con una cerveza (o refresco) y en compañía de los javascripters que no hayan huido de la capital.</p> <p>Hablaremos de JavaScript (o no)....</p>"
"78630232","Proyectos reales con Grails (Terracing Version)",1346346000000,7200000,3936622,1557758,"past","<p>En esta ocasión varios de los miembros de MadridGUG hablarán sobre proyectos reales en los cuales han utilizado Groovy/Grails.</p> <p>Al realizarse la reunión en fechas tan estivales, se intentará realizar en modo ""Terracing"", es decir, de manera desenfadada entre cervezas muy frias y tapas muy surtidas.</p>"
"80747732","Afterwork de AJE Madrid - Bienvenida al nuevo curso",1347559200000,7200000,4678242,9060432,"past","<p>El próximo jueves día 13 de septiembre, celebramos el Afterwork de AJE Madrid para dar la bienvenida al nuevo curso!</p> <p>Como siempre, intentaremos que os encontréis lo más a gusto posible y que puedan surgir sinergias a la vez que pasamos un rato agradable.</p> <p>A las 20:00 - Presentación del nuevo presidente, Ángel Monroy y su Comisión ejecutiva.</p> <p>Cata de Gin Tonic por cortesía de Ginself e invitación a un refresco, vino o cerveza.</p> <p>22.00hrs - Cena en la Sala Mármara por cortesía del grupo Sasfer.</p> <p>Lugar: Terraza de Nh Eurobuilding( Calle Padre damian 23, Bajos Nh Eurobuilding)</p> <p>Asociados gratuito y acompañantes y no asociados 15 €. inscríbete aquí: <a href=""http://www.ticketea.com/afterwork-13-de-septiembre"" class=""linkified"">http://www.ticketea.com/afterwork-13-de-septiembre</a></p>"
